Rk,Player,Team,Salary,PlayerID
350,Tony Bradley,CHI,$2036318,bradlto01
351,Frank Ntilikina,DAL,$2036318,ntilila01
352,Caleb Houstan,ORL,$2000000,houstca01
353,Jeremiah Robinson-Earl,OKC,$2000000,robinje02
354,Kenrich Williams,OKC,$2000000,willike04
355,Garrison Mathews,HOU,$2000000,mathega01
356,Shake Milton,PHI,$1997718,miltosh01
357,Drew Eubanks,POR,$1968175,eubandr01
358,Josh Okogie,PHO,$1968175,okogijo01
359,Troy Brown Jr.,LAL,$1968175,browntr01
360,Theo Pinson,DAL,$1968175,pinsoth01
361,Edmond Sumner,BRK,$1968175,sumneed01
362,Aaron Holiday,ATL,$1968175,holidaa01
363,Daniel Gafford,WAS,$1930681,gaffoda01
364,Terance Mann,LAC,$1930681,mannte01
365,Isaiah Roby,SAS,$1930681,robyis01
366,Dean Wade,CLE,$1930681,wadede01
367,Jalen McDaniels,CHO,$1930681,mcdanja01
368,Naz Reid,MIN,$1930681,reidna01
369,Jaylen Nowell,MIN,$1930681,nowelja01
370,Chimezie Metu,SAC,$1910860,metuch01
371,Davon Reed,DEN,$1902133,reedda01
372,Juan Toscano-Anderson,LAL,$1902133,toscaju01
373,Moses Brown,LAC,$1902133,brownmo01
374,Killian Tillie,MEM,$1901625,tilliki02
375,Théo Maledon,OKC,$1900000,maledth01
376,Svi Mykhailiuk,TOR,$1878720,mykhasv01
377,Thanasis Antetokounmpo,MIL,$1878720,antetth01
378,Keita Bates-Diop,SAS,$1878720,bateske01
379,Moritz Wagner,ORL,$1878720,wagnemo01
380,Wenyen Gabriel,LAL,$1878720,gabriwe01
381,Didi Louzada,POR,$1876222,louzama01
382,Oshae Brissett,IND,$1846738,brissos01
383,Anthony Gill,WAS,$1836090,gillan01
384,Luca Vildoza,MIL,$1836090,vildolu01
385,Javonte Green,CHI,$1815677,greenja02
386,Max Strus,MIA,$1815677,strusma01
387,Gabe Vincent,MIA,$1815677,vincega01
388,Carsen Edwards,DET,$1815677,edwarca01
389,Herbert Jones,NOP,$1785000,joneshe01
390,Vernon Carey Jr.,WAS,$1782621,careyve01
391,Xavier Tillman Sr.,MEM,$1782621,tillmxa01
392,Tyrell Terry,DAL,$1782621,terryty01
393,Tre Jones,SAS,$1782621,jonestr01
394,Paul Reed,PHI,$1782621,reedpa01
395,Isaiah Joe,PHI,$1782621,joeis01
396,Naji Marshall,NOP,$1782621,marshna01
397,Kenyon Martin Jr.,HOU,$1782621,martike04
398,Lamar Stevens,CLE,$1782621,stevela01
399,Nick Richards,CHO,$1782621,richani01
400,Saben Lee,DET,$1752638,leesa01
401,Devin Cannady,ORL,$1752638,cannade01
402,Haywood Highsmith,MIA,$1752638,highsha01
403,Omer Yurtseven,MIA,$1752638,yurtsom01
404,Kennedy Chandler,MEM,$1651163,chandke01
405,Jericho Sims,NYK,$1637966,simsje01
406,Sam Hauser,BOS,$1637966,hausesa01
407,Kessler Edwards,BRK,$1637966,edwarke02
408,Trevelin Queen,PHI,$1637966,queentr01
409,Lindell Wigginton,MIL,$1637966,wiggili01
410,Xavier Moon,LAC,$1637966,moonxa01
411,Trendon Watford,POR,$1563518,watfotr01
412,Isaiah Todd,WAS,$1563518,toddis01
413,Jared Butler,UTA,$1563518,butleja02
414,Greg Brown III,POR,$1563518,browngr01
415,Miles McBride,NYK,$1563518,mcbrimi01
416,Jose Alvarado,NOP,$1563518,alvarjo01
417,Jason Preston,LAC,$1563518,prestja01
418,Brandon Boston Jr.,LAC,$1563518,bostobr01
419,Daishen Nix,HOU,$1563518,nixda01
420,Isaiah Livers,DET,$1563518,liveris01
421,JT Thor,CHO,$1563518,thorjt01
422,Marko Simonovic,CHI,$1563518,simonma01
